Date;SPY ;DJI;IXIC;GOLD;DXY;IR_TLT_10YR;C_SENT;CPI;UNEM_RATE;HASH_RATE;BTC
1/12/14;176.583984;17,823.07;4736.049805;1206;94.8;2.21;93.6;1.6;5.6;335365.2901;320.192993
1/01/15;172.297745;17,164.95;4635.240234;1260.25;95.32;1.88;98.1;1.6;5.7;348786.5672;217.464005
1/02/15;181.981628;18,132.70;4963.529785;1214;98.36;1.98;95.4;1.7;5.5;313293.5461;254.263
1/03/15;178.327469;17,776.12;4900.879883;1187;94.6;2.04;93;1.8;5.4;329772.5625;244.223999
1/04/15;180.884979;17,840.52;4941.419922;1180.25;96.91;1.94;95.9;1.8;5.4;347909.8979;236.145004
1/05/15;183.210434;18,010.68;5070.029785;1191.4;95.49;2.2;90.7;1.7;5.6;332393.9691;230.190002
1/06/15;178.620209;17,619.51;4986.870117;1171;97.34;2.36;96.1;1.8;5.3;356089.185;263.071991
1/07/15;183.543579;17,689.86;5128.279785;1098.4;95.82;2.32;93.1;1.8;5.2;361228.8395;284.649994
1/08/15;172.356567;16,528.03;4776.509766;1135;96.35;2.17;91.9;1.8;5.1;428840.7639;230.056
1/09/15;167.090027;16,284.70;4620.160156;1114;96.95;2.17;87.2;1.9;5.0;465548.4317;236.059998
1/10/15;182.245255;17,663.54;5053.75;1142.35;100.17;2.07;90;1.9;5.0;470388.6625;314.165985
1/11/15;182.911346;17,719.92;5108.669922;1061.9;98.63;2.26;91.3;2.0;5.1;542260.3551;377.321014
1/12/15;178.686752;17,425.03;5007.410156;1060;99.61;2.24;92.6;2.1;5.0;743604.4442;430.566986
1/01/16;170.801086;16,466.30;4613.950195;1111.8;98.21;2.09;92;2.2;4.8;1068073.261;368.766998
1/02/16;170.659973;16,516.50;4557.950195;1234.9;94.59;1.78;91.7;2.3;4.9;1097173.923;437.696991
1/03/16;181.205048;17,685.09;4869.850098;1237;93.08;1.89;91;2.2;5.0;1028361.537;416.729004
1/04/16;182.857468;17,773.64;4775.359863;1285.65;95.89;1.81;89;2.1;5.1;1296655.182;448.317993
1/05/16;185.968140;17,787.20;4948.049805;1212.1;96.14;1.81;94.7;2.2;4.8;1258297.79;531.385986
1/06/16;185.649124;17,929.99;4842.669922;1320.75;95.53;1.64;93.5;2.2;4.9;1561795.94;673.336975
1/07/16;193.420624;18,432.24;5162.129883;1342;96.02;1.5;90;2.2;4.8;1634366.548;624.68103
1/08/16;193.652222;18,400.88;5213.220215;1309.25;95.46;1.56;89.8;2.3;4.9;1481467.82;575.471985
1/09/16;192.690140;18,308.15;5312;1322.5;98.44;1.63;91.2;2.2;5.0;1702788.62;609.734985
1/10/16;190.305939;18,142.42;5189.140137;1272;101.5;1.76;87.2;2.1;4.9;1853292.41;700.971985
1/11/16;197.316513;19,123.58;5323.680176;1178.1;102.21;2.14;93.8;2.1;4.7;1989192.73;745.690979
